episodes,max_steps,num_x_bins,num_v_bins,action_count,alpha,gamma,avg_return,success_rate,avg_steps,,Top 40 Results,,,,,,,,,
900,900,51,11,51,0.02,0.9,-334.8828382,1,67,,episodes,max_steps,num_x_bins,num_v_bins,action_count,alpha,gamma,avg_return,success_rate,avg_steps
900,900,51,51,11,0.02,0.9,-342.5972046,1,68,,900,900,51,11,51,0.02,0.9,-334.8828382,1,67
900,900,51,11,11,0.02,0.9,-348.8552786,1,107,,900,900,51,51,11,0.02,0.9,-342.5972046,1,68
400,400,51,11,31,0.02,0.85,-349.8340469,1,63,,900,900,51,11,11,0.02,0.9,-348.8552786,1,107
400,400,31,11,11,0.005,0.85,-361.2998996,1,109,,400,400,51,11,31,0.02,0.85,-349.8340469,1,63
900,900,51,31,11,0.02,0.85,-366.4318856,1,77,,400,400,31,11,11,0.005,0.85,-361.2998996,1,109
900,900,51,11,51,0.02,0.85,-373.9369156,1,92,,900,900,51,31,11,0.02,0.85,-366.4318856,1,77
900,900,11,51,51,0.02,0.85,-374.8347796,1,113,,900,900,51,11,51,0.02,0.85,-373.9369156,1,92
900,900,11,51,31,0.02,0.9,-376.824825,1,150,,900,900,11,51,51,0.02,0.85,-374.8347796,1,113
400,400,11,51,11,0.02,0.9,-408.4091126,1,66,,900,900,11,51,31,0.02,0.9,-376.824825,1,150
900,900,31,11,11,0.02,0.85,-413.2408126,1,142,,400,400,11,51,11,0.02,0.9,-408.4091126,1,66
900,900,31,11,51,0.02,0.85,-442.4793024,1,120,,900,900,31,11,11,0.02,0.85,-413.2408126,1,142
900,900,51,11,31,0.02,0.85,-447.9878255,1,110,,900,900,31,11,51,0.02,0.85,-442.4793024,1,120
900,900,11,51,11,0.005,0.9,-455.7088796,1,96,,900,900,51,11,31,0.02,0.85,-447.9878255,1,110
900,900,31,51,11,0.005,0.9,-506.0384826,1,95,,900,900,11,51,11,0.005,0.9,-455.7088796,1,96
900,900,51,51,11,0.005,0.85,-508.7387726,1,114,,900,900,31,51,11,0.005,0.9,-506.0384826,1,95
